All 1599 models by parameter count:
vit_large_r50_s32_224.augreg_in21k_ft_in1k         | Total: 329.0M | Trainable: 329.0M
eva02_large_patch14_448.mim_in22k_ft_in22k         | Total: 326.4M | Trainable: 326.4M
eva02_large_patch14_448.mim_m38m_ft_in22k          | Total: 326.4M | Trainable: 326.4M
beit_large_patch16_224.in22k_ft_in22k              | Total: 325.8M | Trainable: 325.8M
beitv2_large_patch16_224.in1k_ft_in22k             | Total: 325.8M | Trainable: 325.8M
vit_large_patch16_224.augreg_in21k                 | Total: 325.7M | Trainable: 325.7M
resnetv2_152x2_bit.goog_in21k                      | Total: 321.7M | Trainable: 321.7M
vit_large_patch16_siglip_512.v2_webli              | Total: 316.7M | Trainable: 316.7M
vit_large_patch16_siglip_384.v2_webli              | Total: 316.3M | Trainable: 316.3M
vit_large_patch16_siglip_384.webli                 | Total: 316.3M | Trainable: 316.3M
dm_nfnet_f4.dm_in1k                                | Total: 316.1M | Trainable: 316.1M
vit_large_patch16_siglip_256.v2_webli              | Total: 316.0M | Trainable: 316.0M
vit_large_patch16_siglip_256.webli                 | Total: 316.0M | Trainable: 316.0M
vit_large_patch14_clip_224.laion2b_ft_in12k        | Total: 315.3M | Trainable: 315.3M
vit_large_patch14_clip_224.openai_ft_in12k         | Total: 315.3M | Trainable: 315.3M
aimv2_large_patch14_448.apple_pt                   | Total: 310.0M | Trainable: 310.0M
aimv2_large_patch14_336.apple_pt                   | Total: 309.5M | Trainable: 309.5M
aimv2_large_patch14_336.apple_pt_dist              | Total: 309.5M | Trainable: 309.5M
aimv2_large_patch14_224.apple_pt                   | Total: 309.2M | Trainable: 309.2M
aimv2_large_patch14_224.apple_pt_dist              | Total: 309.2M | Trainable: 309.2M
samvit_large_patch16.sa1b                          | Total: 308.3M | Trainable: 308.3M
vit_large_patch32_384.orig_in21k_ft_in1k           | Total: 306.6M | Trainable: 306.6M
beit_large_patch16_512.in22k_ft_in22k_in1k         | Total: 305.7M | Trainable: 305.7M
vit_large_patch32_224.orig_in21k                   | Total: 305.5M | Trainable: 305.5M
eva02_large_patch14_448.mim_in22k_ft_in1k          | Total: 305.1M | Trainable: 305.1M
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k    | Total: 305.1M | Trainable: 305.1M
eva02_large_patch14_448.mim_m38m_ft_in1k           | Total: 305.1M | Trainable: 305.1M
eva02_large_patch14_448.mim_m38m_ft_in22k_in1k     | Total: 305.1M | Trainable: 305.1M
beit_large_patch16_384.in22k_ft_in22k_in1k         | Total: 305.0M | Trainable: 305.0M
